"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Methanobacterium subterraneum","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobacterium","Methanobacterium subterraneum"
"Methanobrevibacter millerae","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","Methanobrevibacter millerae"
"Methanobrevibacter thaueri","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","Methanobrevibacter thaueri"
"Methanosphaera sp BMS","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanosphaera","Methanosphaera sp BMS"
"Methanoculleus bourgensis","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanoculleus","Methanoculleus bourgensis"
"Methanoculleus marisnigri","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanoculleus","Methanoculleus marisnigri"
"Methanoculleus sediminis","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanoculleus","Methanoculleus sediminis"
"Methanomicrobiales archaeon HGW Methanomicrobiales 2","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiales_unclassified","g__Methanomicrobiales_unclassified","Methanomicrobiales archaeon HGW Methanomicrobiales 2"
"Methanomicrobiales archaeon HGW Methanomicrobiales 6","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiales_unclassified","g__Methanomicrobiales_unclassified","Methanomicrobiales archaeon HGW Methanomicrobiales 6"
"Methanosaeta harundinacea","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosaetaceae","g__Methanothrix","Methanosaeta harundinacea"
"Methanothrix soehngenii","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosaetaceae","g__Methanothrix","Methanothrix soehngenii"
"Methanomethylovorans hollandica","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanomethylovorans","Methanomethylovorans hollandica"
"Methanosarcina barkeri","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","Methanosarcina barkeri"
"Methanosarcina flavescens","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","Methanosarcina flavescens"
"Methanosarcina mazei","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","Methanosarcina mazei"
"Methanosarcina thermophila","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","Methanosarcina thermophila"
"Methanomassiliicoccales archaeon RumEn M2","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Methanomassiliicoccales","f__Methanomassiliicoccales_unclassified","g__Methanomassiliicoccales_unclassified","Methanomassiliicoccales archaeon RumEn M2"
"Candidatus Nitrosocosmicus oleophilus","k__Archaea","p__Thaumarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrosocosmicus","Candidatus Nitrosocosmicus oleophilus"
"Luteitalea pratensis","k__Bacteria","p__Acidobacteria","c__Acidobacteria_subdivision_6","o__Acidobacteria_subdivision_6_unclassified","f__Vicinamibacteraceae","g__Luteitalea","Luteitalea pratensis"
"Chloracidobacterium thermophilum","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__Blastocatellia_unclassified","f__Blastocatellia_unclassified","g__Chloracidobacterium","Chloracidobacterium thermophilum"
"Actinobacteria bacterium DSM 45722","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinobacteria_unclassified","f__Actinobacteria_unclassified","g__Actinobacteria_unclassified","Actinobacteria bacterium DSM 45722"
"Thermobispora bispora","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinobacteria_unclassified","f__Actinobacteria_unclassified","g__Thermobispora","Thermobispora bispora"
"Actinomyces denticolens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","Actinomyces denticolens"
"Actinomycetaceae bacterium sk1b4","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomycetaceae_unclassified","Actinomycetaceae bacterium sk1b4"
"Trueperella pyogenes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Trueperella","Trueperella pyogenes"
"Aeriscardovia aeriphila","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Aeriscardovia","Aeriscardovia aeriphila"
"Bifidobacterium adolescentis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium adolescentis"
"Bifidobacterium angulatum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium angulatum"
"Bifidobacterium animalis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium animalis"
"Bifidobacterium anseris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium anseris"
"Bifidobacterium bifidum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium bifidum"
"Bifidobacterium boum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium boum"
"Bifidobacterium breve","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium breve"
"Bifidobacterium choerinum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium choerinum"
"Bifidobacterium criceti","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium criceti"
"Bifidobacterium longum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium longum"
"Bifidobacterium magnum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium magnum"
"Bifidobacterium merycicum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium merycicum"
"Bifidobacterium minimum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium minimum"
"Bifidobacterium pseudolongum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium pseudolongum"
"Bifidobacterium ruminantium","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium ruminantium"
"Bifidobacterium thermacidophilum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium thermacidophilum"
"Bifidobacterium thermophilum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium thermophilum"
"Gardnerella vaginalis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Gardnerella","Gardnerella vaginalis"
"Pseudoscardovia radai","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Pseudoscardovia","Pseudoscardovia radai"
"Pseudoscardovia suis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Pseudoscardovia","Pseudoscardovia suis"
"Corynebacterium amycolatum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium amycolatum"
"Corynebacterium aurimucosum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium aurimucosum"
"Corynebacterium camporealensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium camporealensis"
"Corynebacterium casei","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium casei"
"Corynebacterium crenatum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium crenatum"
"Corynebacterium efficiens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium efficiens"
"Corynebacterium flavescens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium flavescens"
"Corynebacterium freneyi","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium freneyi"
"Corynebacterium glutamicum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium glutamicum"
"Corynebacterium humireducens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium humireducens"
"Corynebacterium jeikeium","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium jeikeium"
"Corynebacterium lactis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium lactis"
"Corynebacterium lipophiloflavum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium lipophiloflavum"
"Corynebacterium marinum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium marinum"
"Corynebacterium maris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium maris"
"Corynebacterium matruchotii","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium matruchotii"
"Corynebacterium nuruki","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium nuruki"
"Corynebacterium pollutisoli","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium pollutisoli"
"Corynebacterium provencense","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium provencense"
"Corynebacterium renale","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium renale"
"Corynebacterium sp HMSC08A12","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium sp HMSC08A12"
"Corynebacterium stationis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium stationis"
"Corynebacterium testudinoris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium testudinoris"
"Corynebacterium ulcerans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium ulcerans"
"Corynebacterium variabile","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium variabile"
"Corynebacterium xerosis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","Corynebacterium xerosis"
"Dietzia alimentaria","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Dietziaceae","g__Dietzia","Dietzia alimentaria"
"Dietzia cinnamea","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Dietziaceae","g__Dietzia","Dietzia cinnamea"
"Dietzia maris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Dietziaceae","g__Dietzia","Dietzia maris"
"Dietzia natronolimnaea","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Dietziaceae","g__Dietzia","Dietzia natronolimnaea"
"Gordonia alkanivorans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Gordoniaceae","g__Gordonia","Gordonia alkanivorans"
"Gordonia paraffinivorans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Gordoniaceae","g__Gordonia","Gordonia paraffinivorans"
"Mycobacterium sp 852013 51886 SCH5428379","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","Mycobacterium sp 852013 51886 SCH5428379"
"Mycobacterium sp ITM 2016 00316","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","Mycobacterium sp ITM 2016 00316"
"Mycobacterium sp Root135","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","Mycobacterium sp Root135"
"Mycobacterium sp Root265","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","Mycobacterium sp Root265"
"Mycolicibacterium diernhoferi","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium diernhoferi"
"Mycolicibacterium elephantis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium elephantis"
"Mycolicibacterium flavescens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium flavescens"
"Mycolicibacterium gilvum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium gilvum"
"Mycolicibacterium hassiacum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium hassiacum"
"Mycolicibacterium holsaticum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium holsaticum"
"Mycolicibacterium monacense","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium monacense"
"Mycolicibacterium neoaurum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium neoaurum"
"Mycolicibacterium parafortuitum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium parafortuitum"
"Mycolicibacterium phlei","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium phlei"
"Mycolicibacterium smegmatis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium smegmatis"
"Mycolicibacterium thermoresistibile","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium thermoresistibile"
"Mycolicibacterium tusciae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium tusciae"
"Mycolicibacterium vaccae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","Mycolicibacterium vaccae"
"Mycolicibacter senuensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacter","Mycolicibacter senuensis"
"Rhodococcus biphenylivorans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","Rhodococcus biphenylivorans"
"Rhodococcus coprophilus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","Rhodococcus coprophilus"
"Rhodococcus erythropolis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","Rhodococcus erythropolis"
"Rhodococcus fascians","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","Rhodococcus fascians"
"Rhodococcus gordoniae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","Rhodococcus gordoniae"
"Rhodococcus hoagii","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","Rhodococcus hoagii"
"Rhodococcus pyridinivorans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","Rhodococcus pyridinivorans"
"Rhodococcus qingshengii","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","Rhodococcus qingshengii"
"Cryptosporangium arvum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__Cryptosporangiaceae","g__Cryptosporangium","Cryptosporangium arvum"
"Blastococcus sp DSM 44205","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Geodermatophilales","f__Geodermatophilaceae","g__Blastococcus","Blastococcus sp DSM 44205"
"Geodermatophilus africanus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Geodermatophilales","f__Geodermatophilaceae","g__Geodermatophilus","Geodermatophilus africanus"
"Geodermatophilus obscurus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Geodermatophilales","f__Geodermatophilaceae","g__Geodermatophilus","Geodermatophilus obscurus"
"Geodermatophilus siccatus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Geodermatophilales","f__Geodermatophilaceae","g__Geodermatophilus","Geodermatophilus siccatus"
"Geodermatophilus sp Leaf369","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Geodermatophilales","f__Geodermatophilaceae","g__Geodermatophilus","Geodermatophilus sp Leaf369"
"Modestobacter marinus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Geodermatophilales","f__Geodermatophilaceae","g__Modestobacter","Modestobacter marinus"
"Miniimonas sp PCH200","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Beutenbergiaceae","g__Miniimonas","Miniimonas sp PCH200"
"Georgenia satyanarayanai","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Bogoriellaceae","g__Georgenia","Georgenia satyanarayanai"
"Brevibacterium aurantiacum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium aurantiacum"
"Brevibacterium iodinum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium iodinum"
"Brevibacterium jeotgali","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium jeotgali"
"Brevibacterium linens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium linens"
"Brevibacterium luteolum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium luteolum"
"Brevibacterium mcbrellneri","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium mcbrellneri"
"Brevibacterium paucivorans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium paucivorans"
"Brevibacterium siliguriense","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium siliguriense"
"Brevibacterium yomogidense","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","Brevibacterium yomogidense"
"Cellulomonas bogoriensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Cellulomonas","Cellulomonas bogoriensis"
"Cellulomonas cellasea","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Cellulomonas","Cellulomonas cellasea"
"Cellulomonas flavigena","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Cellulomonas","Cellulomonas flavigena"
"Cellulomonas sp Leaf334","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Cellulomonas","Cellulomonas sp Leaf334"
"Cellulomonas sp Leaf395","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Cellulomonas","Cellulomonas sp Leaf395"
"Cellulomonas sp Root485","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Cellulomonas","Cellulomonas sp Root485"
"Oerskovia enterophila","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Oerskovia","Oerskovia enterophila"
"Brachybacterium ginsengisoli","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Dermabacteraceae","g__Brachybacterium","Brachybacterium ginsengisoli"
"Brachybacterium muris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Dermabacteraceae","g__Brachybacterium","Brachybacterium muris"
"Brachybacterium nesterenkovii","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Dermabacteraceae","g__Brachybacterium","Brachybacterium nesterenkovii"
"Dermatophilus congolensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Dermatophilaceae","g__Dermatophilus","Dermatophilus congolensis"
"Janibacter melonis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Janibacter","Janibacter melonis"
"Janibacter terrae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Janibacter","Janibacter terrae"
"Knoellia aerolata","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Knoellia","Knoellia aerolata"
"Knoellia flava","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Knoellia","Knoellia flava"
"Ornithinimicrobium pekingense","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Ornithinimicrobium","Ornithinimicrobium pekingense"
"Ornithinimicrobium sp AMA3305","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Ornithinimicrobium","Ornithinimicrobium sp AMA3305"
"Jonesia denitrificans","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Jonesiaceae","g__Jonesia","Jonesia denitrificans"
"Agrococcus baldri","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agrococcus","Agrococcus baldri"
"Agrococcus carbonis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agrococcus","Agrococcus carbonis"
"Agrococcus casei","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agrococcus","Agrococcus casei"
"Agrococcus jejuensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agrococcus","Agrococcus jejuensis"
"Agrococcus pavilionensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agrococcus","Agrococcus pavilionensis"
"Clavibacter cf michiganensis LMG 26808","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Clavibacter","Clavibacter cf michiganensis LMG 26808"
"Clavibacter michiganensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Clavibacter","Clavibacter michiganensis"
"Clavibacter sp 199","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Clavibacter","Clavibacter sp 199"
"Cryobacterium arcticum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Cryobacterium","Cryobacterium arcticum"
"Curtobacterium flaccumfaciens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Curtobacterium","Curtobacterium flaccumfaciens"
"Curtobacterium sp MR MD2014","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Curtobacterium","Curtobacterium sp MR MD2014"
"Frigoribacterium sp Leaf186","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Frigoribacterium","Frigoribacterium sp Leaf186"
