"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA791","23801","13","Control","4/23/19",13,37231505,34718971,"1",16844426,"Farm B","Sample",0,"-1",17874545,"USDA791"
"USDA795","23760","18","Case","5/23/19",-28,23971122,23494061,"1",126653,"Farm B","Sample",-46,"≥ -7",23367408,"USDA795"
"USDA797","23456","1","Case","5/22/19",-27,27433652,26878964,"1",9751491,"Farm B","Sample",-28,"-4",17127473,"USDA797"
"USDA798","23877","7","Case","5/20/19",-25,40384532,39373582,"1",10376135,"Farm B","Sample",-32,"-5",28997447,"USDA798"
"USDA820","23025","1","Control","4/3/19",-27,39706621,38827475,"1",10958287,"Farm B","Sample",-28,"-4",27869188,"USDA820"
"USDA822","23760","18","Case","5/23/19",-7,34522508,33844259,"1",10036112,"Farm B","Sample",-25,"-4",23808147,"USDA822"
"USDA825","24049","0","Case","5/27/19",-11,27061192,26447399,"2",4682074,"Farm B","Sample",-11,"-2",21765325,"USDA825"
"USDA866","23792","5","Control","6/12/19",-27,30221430,29211108,"3",809279,"Farm B","Sample",-32,"-5",28401829,"USDA866"
"USDA869","24236","2","Control","6/4/19",-19,25101290,24555184,"1",859746,"Farm B","Sample",-21,"-3",23695438,"USDA869"
"USDA870","23812","2","Control","5/28/19",-12,25566533,24729842,"2",1049487,"Farm B","Sample",-14,"-2",23680355,"USDA870"
"USDA871","23979","1","Control","5/29/19",-13,32400302,31543825,"3",1489226,"Farm B","Sample",-14,"-2",30054599,"USDA871"
"USDA872","23577","4","Case","5/30/19",-14,29294257,28674586,"1",5796316,"Farm B","Sample",-18,"-3",22878270,"USDA872"
"USDA875","23819","10","Control","5/31/19",-15,39163844,37805497,"1",27922555,"Farm B","Sample",-25,"-4",9882942,"USDA875"
"USDA876","23872","11","Case","5/23/19",-7,33819656,33107441,"1",1799959,"Farm B","Sample",-18,"-3",31307482,"USDA876"
"USDA877","23784","3","Control","5/17/19",-1,29959793,29304398,"3",1751695,"Farm B","Sample",-4,"-1",27552703,"USDA877"
"USDA881","23877","7","Case","5/20/19",-4,24391810,23222905,"2",6974011,"Farm B","Sample",-11,"-2",16248894,"USDA881"
"USDA883","23808","3","Case","5/24/19",-8,40190261,39267581,"3",27759153,"Farm B","Sample",-11,"-2",11508428,"USDA883"
"USDA884","23456","1","Case","5/22/19",-6,32996931,31831951,"1",6310758,"Farm B","Sample",-7,"-1",25521193,"USDA884"
"USDA887","23744","4","Control","5/23/19",-7,28568139,27969614,"3",4489684,"Farm B","Sample",-11,"-2",23479930,"USDA887"
"USDA888","23111","2","Case","5/25/19",-9,29857000,29204908,"2",1323154,"Farm B","Sample",-11,"-2",27881754,"USDA888"
"USDA889","23768","0","Case","5/27/19",-11,40112929,39246479,"1",32309135,"Farm B","Sample",-11,"-2",6937344,"USDA889"
"USDA891","23909","32","Case","6/1/19",-16,38103600,37348527,"3",35833761,"Farm B","Sample",-48,"≥ -7",1514766,"USDA891"
"USDA892","23268","4","Case","5/16/19",0,29560356,28860673,"2",16649972,"Farm B","Sample",-4,"-1",12210701,"USDA892"
"USDA896","23792","5","Control","6/12/19",1,33674471,32740895,"2",25279974,"Farm B","Sample",-4,"-1",7460921,"USDA896"
"USDA897","23586","1","Case","5/29/19",-13,25077620,24441099,"1",8476400,"Farm B","Sample",-14,"-2",15964699,"USDA897"
"USDA898","23357","0","Case","6/3/19",-18,27769571,27067337,"3",550888,"Farm B","Sample",-18,"-3",26516449,"USDA898"
"USDA899","23062","3","Control","5/24/19",-8,34903609,33360230,"1",8681179,"Farm B","Sample",-11,"-2",24679051,"USDA899"
"USDA908","23784","3","Control","5/17/19",3,29093196,28498295,"1",7974853,"Farm B","Sample",0,"-1",20523442,"USDA908"
"USDA911","23268","4","Case","5/16/19",4,27975230,26386492,"2",7101255,"Farm B","Sample",0,"-1",19285237,"USDA911"
"USDA927","23660","3","Case","4/22/19",3,32409249,31347067,"1",12738767,"Farm B","Sample",0,"-1",18608300,"USDA927"
"USDA928","23724","16","Case","4/9/19",16,30453668,29843187,"1",2031505,"Farm B","Sample",0,"-1",27811682,"USDA928"
"USDA929","23807","2","Control","4/23/19",2,34282345,33038003,"2",4492643,"Farm B","Sample",0,"-1",28545360,"USDA929"
"USDA949","23349","4","Case","4/25/19",0,27175850,26489630,"2",14252689,"Farm B","Sample",-4,"-1",12236941,"USDA949"
"USDA959","23751","5","Control","5/15/19",5,33533140,32652485,"2",30374002,"Farm B","Sample",0,"-1",2278483,"USDA959"
"USDA967","23349","4","Case","4/25/19",-14,39481896,38402619,"2",37734016,"Farm B","Sample",-18,"-3",668603,"USDA967"
"USDA971","23801","13","Control","4/23/19",-12,42555072,39797184,"2",368731,"Farm B","Sample",-25,"-4",39428453,"USDA971"
"USDA972","23645","1","Control","4/18/19",-7,29022669,28022428,"2",360355,"Farm B","Sample",-8,"-2",27662073,"USDA972"
"USDA977","5386","1","Case","10/10/19",-35,34592884,33466377,"3",4650142,"Farm C","Sample",-36,"-6",28816235,"USDA977"
"USDA989","5527","7","Case","10/4/19",-29,39449906,37927666,"1",24794065,"Farm C","Sample",-36,"-6",13133601,"USDA989"
"USDA993","23419","4","Case","4/25/19",-14,40925707,39689793,"1",6164041,"Farm B","Sample",-18,"-3",33525752,"USDA993"
"USDA996","23660","3","Case","4/22/19",-11,28885488,28308812,"1",2846217,"Farm B","Sample",-14,"-2",25462595,"USDA996"
"USDA1000","23962","1","Case","5/12/19",-31,34031922,33311582,"1",15068295,"Farm B","Sample",-32,"-5",18243287,"USDA1000"
"USDA1001","23614","4","Control","5/5/19",-24,34477504,33782042,"1",7886037,"Farm B","Sample",-28,"-4",25896005,"USDA1001"
"USDA1004","23748","25","Control","5/9/19",-28,31952444,30881166,"1",364819,"Farm B","Sample",-53,"≥ -7",30516347,"USDA1004"
"USDA1007","23667","2","Control","5/4/19",-23,36565406,35872775,"1",1601708,"Farm B","Sample",-25,"-4",34271067,"USDA1007"
"USDA1008","23025","1","Control","4/3/19",1,39045484,37954413,"3",21789829,"Farm B","Sample",0,"-1",16164584,"USDA1008"
"USDA1015","5505","1","Case","9/26/19",-21,26382063,25654649,"1",15111850,"Farm C","Sample",-22,"-4",10542799,"USDA1015"
"USDA1016","5431","13","Case","9/21/19",-16,36293577,35526100,"3",1187052,"Farm C","Sample",-29,"-5",34339048,"USDA1016"
"USDA1018","5573","1","Control","9/26/19",-21,28706715,27970816,"3",131434,"Farm C","Sample",-22,"-4",27839382,"USDA1018"
"USDA1023","1715","2","Control","5/14/19",2,30100781,29589528,"3",31165,"Farm D","Sample",0,"-1",29558363,"USDA1023"
"USDA1033","23909","32","Case","6/1/19",32,28714937,27993647,"2",20316999,"Farm B","Sample",0,"-1",7676648,"USDA1033"
"USDA1041","23787","4","Case","4/19/19",-15,33143223,31523608,"1",1915200,"Farm B","Sample",-19,"-3",29608408,"USDA1041"
"USDA1044","23043","6","Control","4/23/19",-19,30006928,29311131,"2",2576777,"Farm B","Sample",-25,"-4",26734354,"USDA1044"
"USDA1058","23349","4","Case","4/25/19",4,29655626,28777886,"3",4154703,"Farm B","Sample",0,"-1",24623183,"USDA1058"
"USDA1064","23799","0","Case","5/6/19",-25,37054898,36023730,"2",457862,"Farm B","Sample",-25,"-4",35565868,"USDA1064"
"USDA1068","23043","6","Control","4/23/19",6,32908996,31940010,"1",15607901,"Farm B","Sample",0,"-1",16332109,"USDA1068"
"USDA1069","23801","13","Control","4/23/19",6,29481914,28794503,"2",8395590,"Farm B","Sample",-7,"-1",20398913,"USDA1069"
"USDA1072","23277","29","Control","4/28/19",1,30247785,29052999,"2",28163713,"Farm B","Sample",-28,"-4",889286,"USDA1072"
"USDA1073","23419","4","Case","4/25/19",4,26991604,26219853,"2",23862521,"Farm B","Sample",0,"-1",2357332,"USDA1073"
"USDA1074","23915","25","Case","5/9/19",-28,32255677,31543744,"2",683350,"Farm B","Sample",-53,"≥ -7",30860394,"USDA1074"
"USDA1076","23144","3","Control","4/26/19",3,33643673,32803237,"2",15705673,"Farm B","Sample",0,"-1",17097564,"USDA1076"
"USDA1084","23805","3","Case","4/26/19",3,38804540,37774173,"1",11218018,"Farm B","Sample",0,"-1",26556155,"USDA1084"
"USDA1085","23831","18","Control","5/9/19",-28,30279510,29268151,"1",14123487,"Farm B","Sample",-46,"≥ -7",15144664,"USDA1085"
"USDA1090","23445","8","Control","5/5/19",-24,25148587,24500334,"2",1885677,"Farm B","Sample",-32,"-5",22614657,"USDA1090"
"USDA1108","5431","13","Case","9/21/19",-23,47198672,45748477,"1",2572450,"Farm C","Sample",-36,"-6",43176027,"USDA1108"
"USDA1114","5505","1","Case","9/26/19",-28,36887033,36063252,"2",3545846,"Farm C","Sample",-29,"-5",32517406,"USDA1114"
"USDA1122","23620","1","Case","5/15/19",1,18139346,17736021,"3",5561183,"Farm B","Sample",0,"-1",12174838,"USDA1122"
"USDA1149","1751","10","Control","5/6/19",10,44008866,42408880,"2",30436,"Farm D","Sample",0,"-1",42378444,"USDA1149"
"USDA1153","23819","10","Control","5/31/19",10,40969422,40018541,"3",31898282,"Farm B","Sample",0,"-1",8120259,"USDA1153"
"USDA1168","23760","18","Case","5/23/19",18,31328019,30469533,"3",3470662,"Farm B","Sample",0,"-1",26998871,"USDA1168"
"USDA1206","23754","5","Case","4/13/19",-9,30916255,29751588,"2",394257,"Farm B","Sample",-14,"-2",29357331,"USDA1206"
"USDA1207","23730","6","Control","4/13/19",-9,30441053,28582535,"1",1512082,"Farm B","Sample",-15,"-3",27070453,"USDA1207"
"USDA1209","23277","29","Control","4/28/19",-24,30466135,29917755,"1",1010956,"Farm B","Sample",-53,"≥ -7",28906799,"USDA1209"
"USDA1210","23345","4","Case","4/15/19",-11,36817553,36005061,"3",24612128,"Farm B","Sample",-15,"-3",11392933,"USDA1210"
"USDA1211","23724","16","Case","4/9/19",-5,26215842,25598655,"2",7283735,"Farm B","Sample",-21,"-3",18314920,"USDA1211"
"USDA1214","23358","1","Control","5/29/19",1,29538842,28918137,"1",10391201,"Farm B","Sample",0,"-1",18526936,"USDA1214"
"USDA1216","24096","1","Control","5/29/19",1,28020327,27319446,"2",10794564,"Farm B","Sample",0,"-1",16524882,"USDA1216"
"USDA1217","23586","1","Case","5/29/19",1,31514736,30501407,"3",11419579,"Farm B","Sample",0,"-1",19081828,"USDA1217"
"USDA1237","23812","2","Control","5/28/19",2,32914801,31817751,"1",15119779,"Farm B","Sample",0,"-1",16697972,"USDA1237"
"USDA1241","23979","1","Control","5/29/19",1,32127606,31447491,"2",2403351,"Farm B","Sample",0,"-1",29044140,"USDA1241"
"USDA1251","23801","13","Control","4/23/19",0,31993309,30953166,"1",11621373,"Farm B","Sample",-13,"-2",19331793,"USDA1251"
"USDA1253","23787","4","Case","4/19/19",4,30160453,29288372,"2",25672828,"Farm B","Sample",0,"-1",3615544,"USDA1253"
"USDA1269","23980","1","Case","6/9/19",-31,24697797,24137610,"2",550693,"Farm B","Sample",-32,"-5",23586917,"USDA1269"
"USDA1270","23100","11","Control","5/30/19",-21,27155877,26570049,"2",1924150,"Farm B","Sample",-32,"-5",24645899,"USDA1270"
"USDA1271","23917","1","Case","6/2/19",-24,34603199,33725161,"1",32807586,"Farm B","Sample",-25,"-4",917575,"USDA1271"
"USDA1275","22961","2","Case","6/4/19",2,37990241,37113589,"3",29914623,"Farm B","Sample",0,"-1",7198966,"USDA1275"
"USDA1303","23277","29","Control","4/28/19",29,32294542,31046151,"1",3082034,"Farm B","Sample",0,"-1",27964117,"USDA1303"
"USDA1305","23744","4","Control","5/23/19",4,30897408,30178796,"1",16424912,"Farm B","Sample",0,"-1",13753884,"USDA1305"
"USDA1307","23872","11","Case","5/23/19",4,32931940,32069068,"3",10720176,"Farm B","Sample",-7,"-1",21348892,"USDA1307"
"USDA1308","23062","3","Control","5/24/19",3,33030630,32285043,"1",31891072,"Farm B","Sample",0,"-1",393971,"USDA1308"
"USDA1309","23111","2","Case","5/25/19",2,29702872,28484214,"2",27881039,"Farm B","Sample",0,"-1",603175,"USDA1309"
"USDA1310","23768","0","Case","5/27/19",0,40812841,39644340,"1",17958032,"Farm B","Sample",0,"-1",21686308,"USDA1310"
"USDA1314","23877","7","Case","5/20/19",7,38438754,35553551,"1",34568026,"Farm B","Sample",0,"-1",985525,"USDA1314"
"USDA1318","24049","0","Case","5/27/19",0,44978576,43241657,"1",42667641,"Farm B","Sample",0,"-1",574016,"USDA1318"
"USDA1323","23748","25","Control","5/9/19",18,26559573,25976219,"1",18925443,"Farm B","Sample",-7,"-1",7050776,"USDA1323"
"USDA1329","23915","25","Case","5/9/19",18,24430944,23800968,"3",235550,"Farm B","Sample",-7,"-1",23565418,"USDA1329"
"USDA1334","23831","18","Control","5/9/19",18,44402728,43209559,"1",33080994,"Farm B","Sample",0,"-1",10128565,"USDA1334"
"USDA1348","23808","3","Case","5/24/19",3,48169357,46528726,"1",45246054,"Farm B","Sample",0,"-1",1282672,"USDA1348"
"USDA1352","23760","18","Case","5/23/19",4,29550836,28903360,"1",15390379,"Farm B","Sample",-14,"-2",13512981,"USDA1352"
"USDA1361","5460","3","Control","10/8/19",-19,50915694,48433055,"2",4744875,"Farm C","Sample",-22,"-4",43688180,"USDA1361"
"USDA1366","5573","1","Control","9/26/19",-7,34863671,33274111,"2",326404,"Farm C","Sample",-8,"-2",32947707,"USDA1366"
"USDA1374","5505","1","Case","9/26/19",-7,28131964,26953930,"1",5639306,"Farm C","Sample",-8,"-2",21314624,"USDA1374"
"USDA1379","5527","7","Case","10/4/19",-15,37354962,36448166,"3",785167,"Farm C","Sample",-22,"-4",35662999,"USDA1379"
"USDA1381","5386","1","Case","10/10/19",-21,31987362,31090411,"2",12962406,"Farm C","Sample",-22,"-4",18128005,"USDA1381"
"USDA1401","23819","10","Control","5/31/19",3,23144358,22484856,"1",1341750,"Farm B","Sample",-7,"-1",21143106,"USDA1401"
"USDA1403","24236","2","Control","6/4/19",2,30004363,29075081,"2",6530447,"Farm B","Sample",0,"-1",22544634,"USDA1403"
"USDA1406","23740","0","Case","4/29/19",0,33960332,32841212,"2",25272652,"Farm B","Sample",0,"-1",7568560,"USDA1406"
"USDA1414","5431","13","Case","9/21/19",-2,41551657,39332644,"2",3054761,"Farm C","Sample",-15,"-3",36277883,"USDA1414"
"USDA1435","24096","1","Control","5/29/19",-20,32565216,31819887,"3",6364504,"Farm B","Sample",-21,"-3",25455383,"USDA1435"
"USDA1437","22961","2","Case","6/4/19",-26,24870236,24173690,"2",892168,"Farm B","Sample",-28,"-4",23281522,"USDA1437"
"USDA1438","23358","1","Control","5/29/19",-20,28400707,27875943,"1",278349,"Farm B","Sample",-21,"-3",27597594,"USDA1438"
"USDA1439","23883","0","Control","6/10/19",-32,25172835,24703758,"1",118372,"Farm B","Sample",-32,"-5",24585386,"USDA1439"
"USDA1446","23807","2","Control","4/23/19",-12,24713667,23875678,"2",380729,"Farm B","Sample",-14,"-2",23494949,"USDA1446"
"USDA1448","24012","2","Control","6/11/19",-33,40031127,38774506,"1",28390965,"Farm B","Sample",-35,"-5",10383541,"USDA1448"
"USDA1451","23642","3","Control","5/31/19",-22,28750692,27759100,"2",5881857,"Farm B","Sample",-25,"-4",21877243,"USDA1451"
"USDA1452","23831","18","Control","5/9/19",0,32832817,32127085,"3",15014036,"Farm B","Sample",-18,"-3",17113049,"USDA1452"
"USDA1464","23724","16","Case","4/9/19",-33,36563944,35144219,"2",7843179,"Farm B","Sample",-49,"≥ -7",27301040,"USDA1464"
"USDA1470","1706","2","Case","3/19/19",-11,27943722,27263657,"1",6581346,"Farm D","Sample",-13,"-2",20682311,"USDA1470"
"USDA1471","8429","5","Control","4/10/19",-33,35025240,34243750,"3",5919506,"Farm D","Sample",-38,"-6",28324244,"USDA1471"
"USDA1472","1732","10","Case","4/5/19",-28,24995544,24407810,"2",7114912,"Farm D","Sample",-38,"-6",17292898,"USDA1472"
"USDA1474","1730","2","Case","4/3/19",-26,36105140,35334950,"1",20878248,"Farm D","Sample",-28,"-4",14456702,"USDA1474"
"USDA1476","1742","2","Control","4/3/19",-33,36804358,35675727,"1",30978004,"Farm D","Sample",-35,"-5",4697723,"USDA1476"
"USDA1481","1714","7","Control","5/9/19",7,25227075,24793710,"1",43902,"Farm D","Sample",0,"-1",24749808,"USDA1481"
"USDA1496","23909","32","Case","6/1/19",18,25873919,25406492,"1",414248,"Farm B","Sample",-14,"-2",24992244,"USDA1496"
"USDA1501","23962","1","Case","5/12/19",-17,35359651,34592693,"2",7960140,"Farm B","Sample",-18,"-3",26632553,"USDA1501"
"USDA1502","23614","4","Control","5/5/19",-10,30698711,30125108,"1",703471,"Farm B","Sample",-14,"-2",29421637,"USDA1502"
"USDA1503","23667","2","Control","5/4/19",-9,35067457,33454313,"2",16170020,"Farm B","Sample",-11,"-2",17284293,"USDA1503"
"USDA1504","23831","18","Control","5/9/19",-14,23580845,22844426,"1",9000930,"Farm B","Sample",-32,"-5",13843496,"USDA1504"
"USDA1508","23979","1","Control","5/29/19",-34,25596768,24097119,"2",1169894,"Farm B","Sample",-35,"-5",22927225,"USDA1508"
"USDA1510","23062","3","Control","5/24/19",-29,31089613,30467732,"2",645948,"Farm B","Sample",-32,"-5",29821784,"USDA1510"
"USDA1511","23620","1","Case","5/15/19",-20,32072614,31429466,"2",4122115,"Farm B","Sample",-21,"-3",27307351,"USDA1511"
"USDA1513","24157","6","Case","5/7/19",-12,27104384,26409243,"1",11215554,"Farm B","Sample",-18,"-3",15193689,"USDA1513"
"USDA1514","23577","4","Case","5/30/19",-35,34330436,33324510,"3",22349928,"Farm B","Sample",-39,"-6",10974582,"USDA1514"
"USDA1515","23915","25","Case","5/9/19",-14,29143265,28556818,"3",102956,"Farm B","Sample",-39,"-6",28453862,"USDA1515"
"USDA1516","23358","1","Control","5/29/19",-34,20896813,20086075,"2",142159,"Farm B","Sample",-35,"-5",19943916,"USDA1516"
"USDA1518","23768","0","Case","5/27/19",-32,46140126,44141822,"2",1648981,"Farm B","Sample",-32,"-5",42492841,"USDA1518"
"USDA1521","23748","25","Control","5/9/19",-14,35426483,34651199,"3",30720587,"Farm B","Sample",-39,"-6",3930612,"USDA1521"
"USDA1522","23268","4","Case","5/16/19",-21,26720981,26058443,"1",246160,"Farm B","Sample",-25,"-4",25812283,"USDA1522"
"USDA1525","24096","1","Control","5/29/19",-34,28843655,28223969,"1",1689246,"Farm B","Sample",-35,"-5",26534723,"USDA1525"
"USDA1531","23100","11","Control","5/30/19",-35,49176181,47927943,"1",150000,"Farm B","Sample",-46,"≥ -7",47777943,"USDA1531"
"USDA1535","24049","0","Case","5/27/19",-32,37737269,36028150,"2",5149833,"Farm B","Sample",-32,"-5",30878317,"USDA1535"
"USDA1550","23795","1","Control","5/5/19",-10,33862222,32969815,"3",10684434,"Farm B","Sample",-11,"-2",22285381,"USDA1550"
"USDA1551","23799","0","Case","5/6/19",-11,28379585,27742661,"1",791532,"Farm B","Sample",-11,"-2",26951129,"USDA1551"
"USDA1556","23277","29","Control","4/28/19",-3,36037658,35342871,"3",5229084,"Farm B","Sample",-32,"-5",30113787,"USDA1556"
"USDA1557","23805","3","Case","4/26/19",-1,38887969,37590148,"1",3173609,"Farm B","Sample",-4,"-1",34416539,"USDA1557"
"USDA1562","23740","0","Case","4/29/19",-4,31466712,30757815,"1",25802806,"Farm B","Sample",-4,"-1",4955009,"USDA1562"
"USDA1563","23445","8","Control","5/5/19",-10,37668281,36886881,"1",36043708,"Farm B","Sample",-18,"-3",843173,"USDA1563"
"USDA1565","23419","4","Case","4/25/19",0,24971151,24271418,"1",15460841,"Farm B","Sample",-4,"-1",8810577,"USDA1565"
"USDA1567","23701","2","Control","4/30/19",-5,27391315,26711217,"2",2426045,"Farm B","Sample",-7,"-1",24285172,"USDA1567"
"USDA1572","23747","2","Control","4/8/19",2,50040070,48017939,"2",12767691,"Farm B","Sample",0,"-1",35250248,"USDA1572"
"USDA1574","8440","8","Control","3/28/19",-20,34798331,33813478,"3",7844848,"Farm D","Sample",-28,"-4",25968630,"USDA1574"
"USDA1576","1702","6","Case","3/30/19",-22,29788898,28813852,"2",22142960,"Farm D","Sample",-28,"-4",6670892,"USDA1576"
"USDA1577","1733","6","Case","4/12/19",-35,20807700,19686744,"1",8250622,"Farm D","Sample",-41,"-6",11436122,"USDA1577"
"USDA1580","1727","4","Case","4/1/19",-24,38464614,37022045,"1",27604933,"Farm D","Sample",-28,"-4",9417112,"USDA1580"
"USDA1583","1736","14","Control","3/22/19",-14,31297986,30308241,"2",26745619,"Farm D","Sample",-28,"-4",3562622,"USDA1583"
"USDA1585","1742","2","Control","4/3/19",-26,37085735,36197116,"1",34858045,"Farm D","Sample",-28,"-4",1339071,"USDA1585"
"USDA1586","1749","9","Control","4/6/19",-29,26162158,25327576,"1",1809069,"Farm D","Sample",-38,"-6",23518507,"USDA1586"
"USDA1591","1701","6","Control","4/9/19",-32,35556214,34679776,"2",16353579,"Farm D","Sample",-38,"-6",18326197,"USDA1591"
"USDA1594","1708","0","Case","3/15/19",-7,30746922,29888614,"2",17566717,"Farm D","Sample",-7,"-1",12321897,"USDA1594"
"USDA1595","8444","6","Control","3/23/19",-15,32019181,31160498,"2",28873032,"Farm D","Sample",-21,"-3",2287466,"USDA1595"
"USDA1598","1705","4","Control","4/1/19",-24,36945004,35918245,"3",24172410,"Farm D","Sample",-28,"-4",11745835,"USDA1598"
"USDA1599","1719","1","Case","4/4/19",-27,24554579,23850968,"2",18492121,"Farm D","Sample",-28,"-4",5358847,"USDA1599"
"USDA1600","1704","2","Case","3/13/19",-5,31148347,30246649,"2",16191810,"Farm D","Sample",-7,"-1",14054839,"USDA1600"
"USDA1603","1739","9","Case","4/9/19",-32,32725060,31575456,"2",18533795,"Farm D","Sample",-41,"-6",13041661,"USDA1603"
"USDA1608","8441","9","Case","4/6/19",-29,36193326,34846613,"2",3141045,"Farm D","Sample",-38,"-6",31705568,"USDA1608"
"USDA1609","23744","4","Control","5/23/19",0,30695579,29985256,"2",5348914,"Farm B","Sample",-4,"-1",24636342,"USDA1609"
"USDA1613","23357","0","Case","6/3/19",-11,27670212,27072799,"2",3979272,"Farm B","Sample",-11,"-2",23093527,"USDA1613"
"USDA1614","23792","5","Control","6/12/19",-20,35749158,34934873,"2",403397,"Farm B","Sample",-25,"-4",34531476,"USDA1614"
"USDA1621","23577","4","Case","5/30/19",-7,47927115,46697659,"1",21707250,"Farm B","Sample",-11,"-2",24990409,"USDA1621"
"USDA1623","23808","3","Case","5/24/19",-1,41082076,38212882,"1",29710384,"Farm B","Sample",-4,"-1",8502498,"USDA1623"
"USDA1625","24236","2","Control","6/4/19",-12,30164685,29638939,"1",535392,"Farm B","Sample",-14,"-2",29103547,"USDA1625"
"USDA1626","23979","1","Control","5/29/19",-6,29057567,28464192,"1",13508118,"Farm B","Sample",-7,"-1",14956074,"USDA1626"
"USDA1627","23747","2","Control","4/8/19",-25,29236709,28329588,"2",2112390,"Farm B","Sample",-27,"-4",26217198,"USDA1627"
"USDA1633","23872","11","Case","5/23/19",0,28702558,28114779,"2",7162647,"Farm B","Sample",-11,"-2",20952132,"USDA1633"
"USDA1635","23812","2","Control","5/28/19",-5,27497445,26911248,"2",119013,"Farm B","Sample",-7,"-1",26792235,"USDA1635"
"USDA1637","23111","2","Case","5/25/19",-2,27836190,27040234,"3",7950401,"Farm B","Sample",-4,"-1",19089833,"USDA1637"
"USDA1644","23909","32","Case","6/1/19",25,27203300,26169643,"2",12602312,"Farm B","Sample",-7,"-1",13567331,"USDA1644"
"USDA1645","8440","8","Control","3/28/19",-27,29538659,28782421,"2",3560926,"Farm D","Sample",-35,"-5",25221495,"USDA1645"
"USDA1646","1713","13","Case","3/16/19",-15,34296185,33515591,"1",31240024,"Farm D","Sample",-28,"-4",2275567,"USDA1646"
"USDA1648","1704","2","Case","3/13/19",-12,33489388,31062002,"2",19114406,"Farm D","Sample",-14,"-2",11947596,"USDA1648"
"USDA1652","8440","8","Control","3/28/19",-34,23208089,22393937,"2",186013,"Farm D","Sample",-42,"-6",22207924,"USDA1652"
"USDA1659","8433","8","Control","3/28/19",1,21367505,20856256,"2",353880,"Farm D","Sample",-7,"-1",20502376,"USDA1659"
"USDA1663","1713","13","Case","3/16/19",13,27553683,26077351,"2",2330345,"Farm D","Sample",0,"-1",23747006,"USDA1663"
"USDA1664","1736","14","Control","3/22/19",7,29314301,28409680,"2",10667110,"Farm D","Sample",-7,"-1",17742570,"USDA1664"
"USDA1666","8440","8","Control","3/28/19",1,22786197,22179677,"3",414244,"Farm D","Sample",-7,"-1",21765433,"USDA1666"
"USDA1669","1749","9","Control","4/6/19",-22,31155267,30510764,"1",6717507,"Farm D","Sample",-31,"-5",23793257,"USDA1669"
"USDA1670","1705","4","Control","4/1/19",-17,38417828,37553846,"3",1675482,"Farm D","Sample",-21,"-3",35878364,"USDA1670"
"USDA1674","1732","10","Case","4/5/19",-21,27360193,26816710,"1",9919493,"Farm D","Sample",-31,"-5",16897217,"USDA1674"
"USDA1676","1702","6","Case","3/30/19",-15,29986818,29403395,"1",3236139,"Farm D","Sample",-21,"-3",26167256,"USDA1676"
"USDA1679","1703","0","Control","3/29/19",-14,27371322,26904898,"1",314245,"Farm D","Sample",-14,"-2",26590653,"USDA1679"
"USDA1681","1739","9","Case","4/9/19",-25,26639106,25555726,"2",18639690,"Farm D","Sample",-34,"-5",6916036,"USDA1681"
"USDA1682","1736","14","Control","3/22/19",-7,45053067,43398942,"1",116851,"Farm D","Sample",-21,"-3",43282091,"USDA1682"
"USDA1683","1701","6","Control","4/9/19",-25,38219233,35811107,"2",373900,"Farm D","Sample",-31,"-5",35437207,"USDA1683"
"USDA1684","1742","2","Control","4/3/19",-19,35435530,34665684,"2",2743587,"Farm D","Sample",-21,"-3",31922097,"USDA1684"
"USDA1685","1724","1","Case","3/28/19",-13,34033988,31564525,"2",15247582,"Farm D","Sample",-14,"-2",16316943,"USDA1685"
"USDA1687","1703","0","Control","3/29/19",-21,25525462,23989525,"1",7886051,"Farm D","Sample",-21,"-3",16103474,"USDA1687"
"USDA1689","1720","4","Case","4/1/19",-24,36033667,34928863,"2",11864299,"Farm D","Sample",-28,"-4",23064564,"USDA1689"
"USDA1691","8433","8","Control","3/28/19",-35,21130065,20682494,"2",142926,"Farm D","Sample",-43,"≥ -7",20539568,"USDA1691"
"USDA1693","23645","1","Control","4/18/19",-35,31298436,30685210,"1",123818,"Farm B","Sample",-36,"-6",30561392,"USDA1693"
"USDA1698","23883","0","Control","6/10/19",-18,32544091,31423283,"2",13785210,"Farm B","Sample",-18,"-3",17638073,"USDA1698"
"USDA1699","23586","1","Case","5/29/19",-6,24318683,23599755,"2",2002230,"Farm B","Sample",-7,"-1",21597525,"USDA1699"
"USDA1700","24049","0","Case","5/27/19",-4,23772167,23221116,"1",9677141,"Farm B","Sample",-4,"-1",13543975,"USDA1700"
"USDA1701","23917","1","Case","6/2/19",-10,37005630,36212209,"3",3624107,"Farm B","Sample",-11,"-2",32588102,"USDA1701"
"USDA1702","23100","11","Control","5/30/19",-7,35694822,34806556,"1",2423884,"Farm B","Sample",-18,"-3",32382672,"USDA1702"
"USDA1709","24012","2","Control","6/11/19",-19,43380991,41787750,"1",3372152,"Farm B","Sample",-21,"-3",38415598,"USDA1709"
"USDA1714","23744","4","Control","5/23/19",-21,31824621,31042877,"2",712456,"Farm B","Sample",-25,"-4",30330421,"USDA1714"
"USDA1724","23667","2","Control","5/4/19",2,28848560,27501724,"2",10236328,"Farm B","Sample",0,"-1",17265396,"USDA1724"
