"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA180","35786","2","Control","8/3/19",-4,24843293,24043031,"2",4945286,"Farm A","Sample",-6,"-1",19097745,"USDA180"
"USDA183","84133","7","Control","8/2/19",-3,37552030,36200433,"2",67060,"Farm A","Sample",-10,"-2",36133373,"USDA183"
"USDA186","5814","7","Control","8/2/19",-3,30873529,29688870,"1",6782265,"Farm A","Sample",-10,"-2",22906605,"USDA186"
"USDA262","68481","4","Case","8/11/19",-12,34346152,33132396,"2",2941154,"Farm A","Sample",-16,"-3",30191242,"USDA262"
"USDA291","84771","5","Control","8/10/19",-11,30794811,29947123,"2",3073970,"Farm A","Sample",-16,"-3",26873153,"USDA291"
"USDA294","84521","4","Case","8/26/19",-27,31557003,30847362,"1",631077,"Farm A","Sample",-31,"-5",30216285,"USDA294"
"USDA297","5798","6","Case","8/9/19",-10,39180649,37978260,"3",31814474,"Farm A","Sample",-16,"-3",6163786,"USDA297"
"USDA311","84753","7","Control","8/30/19",-31,25053136,23716911,"2",1690756,"Farm A","Sample",-38,"-6",22026155,"USDA311"
"USDA329","1713","13","Case","3/16/19",5,33973451,30793109,"1",21927253,"Farm D","Sample",-8,"-2",8865856,"USDA329"
"USDA330","1740","2","Case","3/19/19",2,29903615,29084426,"1",453251,"Farm D","Sample",0,"-1",28631175,"USDA330"
"USDA332","1716","3","Case","5/7/19",-25,35349215,34621794,"1",659148,"Farm D","Sample",-28,"-4",33962646,"USDA332"
"USDA333","1756","7","Case","4/24/19",-12,30050702,29399544,"3",5445673,"Farm D","Sample",-19,"-3",23953871,"USDA333"
"USDA335","1725","8","Control","4/24/19",-12,27893309,27310155,"1",2092793,"Farm D","Sample",-20,"-3",25217362,"USDA335"
"USDA339","1754","2","Case","4/30/19",-18,36802315,36035932,"2",3003608,"Farm D","Sample",-20,"-3",33032324,"USDA339"
"USDA340","8438","5","Control","5/5/19",-23,34160297,33348518,"2",534513,"Farm D","Sample",-28,"-4",32814005,"USDA340"
"USDA343","1706","2","Case","3/19/19",2,29033584,28246768,"3",13283080,"Farm D","Sample",0,"-1",14963688,"USDA343"
"USDA350","1708","0","Case","3/15/19",-14,27187494,26470349,"2",20934618,"Farm D","Sample",-14,"-2",5535731,"USDA350"
"USDA353","8444","6","Control","3/23/19",-22,29487527,28692652,"2",6093153,"Farm D","Sample",-28,"-4",22599499,"USDA353"
"USDA356","1735","3","Control","4/28/19",-16,29261984,28554101,"3",1313527,"Farm D","Sample",-19,"-3",27240574,"USDA356"
"USDA357","1748","2","Control","4/30/19",-18,91827,69967,"3",3848,"Farm D","Sample",-20,"-3",66119,"USDA357"
"USDA359","1755","9","Case","4/23/19",-11,28053298,27388625,"3",703318,"Farm D","Sample",-20,"-3",26685307,"USDA359"
"USDA362","8440","8","Control","3/28/19",-3,32472007,31791351,"3",2657505,"Farm D","Sample",-11,"-2",29133846,"USDA362"
"USDA363","1724","1","Case","3/28/19",-3,26087711,25495945,"2",10144532,"Farm D","Sample",-4,"-1",15351413,"USDA363"
"USDA366","1730","2","Case","4/3/19",-9,28154297,26826950,"2",20274612,"Farm D","Sample",-11,"-2",6552338,"USDA366"
"USDA368","1701","6","Control","4/9/19",6,30857701,29988267,"1",535979,"Farm D","Sample",0,"-1",29452288,"USDA368"
"USDA374","1710","10","Case","4/5/19",10,35775986,35095290,"3",65972,"Farm D","Sample",0,"-1",35029318,"USDA374"
"USDA377","1749","9","Control","4/6/19",9,37613855,36104507,"2",407592,"Farm D","Sample",0,"-1",35696915,"USDA377"
"USDA379","1725","8","Control","4/24/19",-34,24424768,23644651,"2",912169,"Farm D","Sample",-42,"-6",22732482,"USDA379"
"USDA385","1727","4","Case","4/1/19",-31,28441495,27701290,"3",12596986,"Farm D","Sample",-35,"-5",15104304,"USDA385"
"USDA388","1705","4","Control","4/1/19",-31,27401073,26692694,"2",9443231,"Farm D","Sample",-35,"-5",17249463,"USDA388"
"USDA391","1736","14","Control","3/22/19",-21,40315673,38553483,"2",25351302,"Farm D","Sample",-35,"-5",13202181,"USDA391"
"USDA393","1732","10","Case","4/5/19",-35,36434482,35490451,"1",24475523,"Farm D","Sample",-45,"≥ -7",11014928,"USDA393"
"USDA396","1704","2","Case","3/13/19",-26,38222768,37320505,"1",33908793,"Farm D","Sample",-28,"-4",3411712,"USDA396"
"USDA403","1732","10","Case","4/5/19",10,23559480,22808821,"2",3186225,"Farm D","Sample",0,"-1",19622596,"USDA403"
"USDA406","8441","9","Case","4/6/19",9,32780604,31896016,"3",171015,"Farm D","Sample",0,"-1",31725001,"USDA406"
"USDA415","1747","3","Control","4/15/19",0,30556781,29822335,"2",2308138,"Farm D","Sample",-3,"-1",27514197,"USDA415"
"USDA416","1725","8","Control","4/24/19",-9,25458790,24761686,"2",13237975,"Farm D","Sample",-17,"-3",11523711,"USDA416"
"USDA420","1751","10","Control","5/6/19",-21,30218407,29673988,"1",6115923,"Farm D","Sample",-31,"-5",23558065,"USDA420"
"USDA424","1733","6","Case","4/12/19",3,31961687,30329347,"2",9530129,"Farm D","Sample",-3,"-1",20799218,"USDA424"
"USDA425","1748","2","Control","4/30/19",-15,30411225,29744495,"1",10909521,"Farm D","Sample",-17,"-3",18834974,"USDA425"
"USDA426","1715","2","Control","5/14/19",-29,30298956,29136639,"2",13686548,"Farm D","Sample",-31,"-5",15450091,"USDA426"
"USDA431","1716","3","Case","5/7/19",-22,26264528,25734284,"1",2936524,"Farm D","Sample",-25,"-4",22797760,"USDA431"
"USDA434","1730","2","Case","4/3/19",-33,35107287,34283543,"2",2375535,"Farm D","Sample",-35,"-5",31908008,"USDA434"
"USDA435","1710","10","Case","4/5/19",-35,31155894,29025104,"1",5171350,"Farm D","Sample",-45,"≥ -7",23853754,"USDA435"
"USDA436","1706","2","Case","3/19/19",-18,32318990,31481316,"2",16505767,"Farm D","Sample",-20,"-3",14975549,"USDA436"
"USDA437","8433","8","Control","3/28/19",-27,29305416,28636747,"2",1256725,"Farm D","Sample",-35,"-5",27380022,"USDA437"
"USDA440","1719","1","Case","4/4/19",-34,31788308,30922977,"2",29241561,"Farm D","Sample",-35,"-5",1681416,"USDA440"
"USDA443","1702","6","Case","3/30/19",-29,27799887,27060694,"2",26736648,"Farm D","Sample",-35,"-5",324046,"USDA443"
"USDA444","1724","1","Case","3/28/19",-27,30330213,29521450,"2",11305031,"Farm D","Sample",-28,"-4",18216419,"USDA444"
"USDA447","1708","0","Case","3/15/19",-28,41384383,35777555,"2",24070717,"Farm D","Sample",-28,"-4",11706838,"USDA447"
"USDA452","1706","2","Case","3/19/19",-32,26899906,26148958,"2",17856827,"Farm D","Sample",-34,"-5",8292131,"USDA452"
"USDA454","1740","2","Case","3/19/19",-32,31541990,30684798,"3",3827318,"Farm D","Sample",-34,"-5",26857480,"USDA454"
"USDA457","1750","10","Case","4/22/19",-17,27884230,27080956,"3",3696118,"Farm D","Sample",-27,"-4",23384838,"USDA457"
"USDA458","1714","7","Control","5/9/19",-34,34741147,33910606,"3",6917760,"Farm D","Sample",-41,"-6",26992846,"USDA458"
